chunk_id,question,answer
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by World War II?,50-85 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What were the combatants involved in World War II?,Allied Powers vs. Axis Powers
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,When did World War II take place?,1939–1945
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which location was affected by World War II?,Global
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What were the approximate number of deaths caused by Mongol invasions and conquests?,20-60 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Who did the Mongols invade and conquer during this period?,Mongol Empire vs. various states in Eurasia
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Mongol invasions and conquests take place?,Asia and Europe
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Three Kingdoms?,34 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which dates mark the beginning and end of the Three Kingdoms period?,220–280
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Who were the various sides involved in the Three Kingdoms?,Multiple sides
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Three Kingdoms take place?,China
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Taiping Rebellion?,20-30 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which dynasties were involved in the Taiping Rebellion?,Qing Dynasty vs. Taiping Heavenly Kingdom
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Taiping Rebellion take place?,China
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by World War I?,15-30 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which powers were involved in World War I?,Allied Powers vs. Central Powers
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did World War I take place?,Global
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Manchu Conquest of China?,25 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which dynasties were involved in the Manchu Conquest of China?,Manchu vs. Ming Dynasty
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Manchu Conquest of China take place?,China
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Conquests of Timur?,7-20 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which empires were involved in the Conquests of Timur?,Timurid Empire vs. various states in Asia
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the Conquests of Timur take place?,"Central Asia, West Asia, and South Asia"
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by An Lushan rebellion?,13 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which dynasties were involved in the An Lushan rebellion?,Tang Dynasty and Uyghur Khaganate vs. Yan Dynasty
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Where did the An Lushan rebellion take place?,China
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,What was the approximate number of deaths caused by Thirty Years' War?,4-12 million
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,Which sides were involved in the Thirty Years' War?,Anti-Imperial Alliance vs. Imperial Alliance
